,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1.0,MIN,Karl-Anthony Towns,Kentucky,5.0,358.0,12307.0,8113.0,4209.0,992.0,0.534,0.396,0.831,34.4,22.7,11.8,2.8,50.4,0.197,4.8,21.2
2,2.0,LAL,D'Angelo Russell,Ohio State,5.0,317.0,9204.0,5532.0,1176.0,1666.0,0.42,0.356,0.772,29.0,17.5,3.7,5.3,8.4,0.044,0.4,5.5
3,3.0,PHI,Jahlil Okafor,Duke,5.0,218.0,4437.0,2392.0,1095.0,211.0,0.536,0.235,0.674,20.4,11.0,5.0,1.0,6.4,0.069,-2.0,0.0
4,4.0,NYK,Kristaps Porziņģis,,4.0,237.0,7361.0,4293.0,1800.0,337.0,0.433,0.357,0.798,31.1,18.1,7.6,1.4,16.4,0.107,1.0,5.6
5,5.0,ORL,Mario Hezonja,,5.0,324.0,6003.0,2253.0,1004.0,407.0,0.418,0.321,0.813,18.5,7.0,3.1,1.3,3.1,0.025,-2.8,-1.2
6,6.0,SAC,Willie Cauley-Stein,Kentucky,5.0,349.0,8187.0,3361.0,2194.0,553.0,0.539,0.211,0.611,23.5,9.6,6.3,1.6,20.3,0.119,0.1,4.3
7,7.0,DEN,Emmanuel Mudiay,,5.0,294.0,7078.0,3252.0,873.0,1130.0,0.401,0.323,0.743,24.1,11.1,3.0,3.8,-0.1,-0.001,-3.1,-2.1
8,8.0,DET,Stanley Johnson,Arizona,5.0,305.0,6256.0,2008.0,986.0,431.0,0.372,0.291,0.765,20.5,6.6,3.2,1.4,3.2,0.025,-2.9,-1.5
9,9.0,CHO,Frank Kaminsky,Wisconsin,5.0,314.0,6970.0,3110.0,1280.0,523.0,0.423,0.349,0.749,22.2,9.9,4.1,1.7,12.4,0.085,-0.6,2.5
10,10.0,MIA,Justise Winslow,Duke,5.0,241.0,6848.0,2181.0,1295.0,657.0,0.417,0.337,0.646,28.4,9.0,5.4,2.7,7.7,0.054,-1.8,0.3
11,11.0,IND,Myles Turner,Texas,5.0,335.0,9491.0,4255.0,2229.0,410.0,0.488,0.354,0.768,28.3,12.7,6.7,1.2,25.9,0.131,0.6,6.2
12,12.0,UTA,Trey Lyles,Kentucky,5.0,351.0,6322.0,2602.0,1488.0,375.0,0.433,0.341,0.708,18.0,7.4,4.2,1.1,10.3,0.078,-1.2,1.3
