,Player,Pos,BasePos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Steven Adams,C,C,26.0,OKC,58.0,1564.0,20.8,0.605,0.007,0.413,14.4,23.8,19.3,13.5,1.6,3.5,14.1,17.2,0.0,3.7,2.5,6.2,0.19,2.1,1.1,3.2,2.0
1,Bam Adebayo,PF,PF,22.0,MIA,65.0,2235.0,20.6,0.606,0.018,0.476,8.7,25.0,17.2,23.6,1.7,3.8,17.5,20.8,0.0,4.6,3.6,8.1,0.175,1.6,2.1,3.6,3.2
2,LaMarcus Aldridge,C,C,34.0,SAS,53.0,1754.0,19.8,0.571,0.198,0.241,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.6,0.0,3.1,1.4,4.4,0.122,1.8,-0.5,1.3,1.5
3,Nickeil Alexander-Walker,SG,SG,21.0,NOP,41.0,501.0,7.6,0.441,0.515,0.123,1.7,15.2,8.4,20.3,1.0,1.2,14.3,22.8,0.0,-0.7,0.4,-0.4,-0.034,-3.5,-1.4,-4.9,-0.4
4,Grayson Allen,SG,SG,24.0,MEM,30.0,498.0,11.4,0.577,0.517,0.199,1.1,12.6,7.0,11.8,0.6,0.2,10.7,17.9,0.0,0.5,0.3,0.7,0.07,-1.0,-1.5,-2.6,-0.1
5,Jarrett Allen,C,C,21.0,BRK,64.0,1647.0,20.3,0.658,0.012,0.574,12.5,25.0,18.9,7.8,1.1,4.3,12.2,15.0,0.0,4.3,2.8,7.1,0.207,1.0,1.1,2.1,1.7
6,Kadeem Allen,SG,SG,27.0,NYK,10.0,117.0,14.0,0.512,0.364,0.25,1.8,6.6,4.1,27.0,2.1,1.6,14.1,20.6,0.0,0.1,0.1,0.1,0.053,0.0,-0.6,-0.6,0.0
7,Al-Farouq Aminu,PF,PF,29.0,ORL,18.0,380.0,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,0.0,-0.4,0.5,0.1,0.016,-4.5,1.4,-3.1,-0.1
8,Justin Anderson,SF,SF,26.0,BRK,3.0,17.0,-3.8,0.218,0.5,0.333,0.0,11.8,6.1,0.0,0.0,4.9,0.0,16.9,0.0,-0.1,0.0,-0.1,-0.167,-12.8,-2.3,-15.1,-0.1
9,Kyle Anderson,PF,PF,26.0,MEM,59.0,1140.0,13.0,0.542,0.221,0.236,5.1,18.3,11.8,15.1,1.9,2.4,15.1,13.3,0.0,0.9,1.4,2.2,0.095,-1.3,1.9,0.6,0.7
